What is your gender?,Please select the district you are living?,What is your family’s monthly income?,On what level do you have access to the required technical devices for e-learning? (1 being no access and 5 being having enough access),Who is your internet service provider?(Please select the most frequently used one),What is the level of satisfaction about your internet connection?,What is your university?,What is the academic year?,What is your field of education?,How long have you been using e-learning?,How many hours per week you spend on lectures?,On what level do you interact with the lecturers during the class?,How much you satisfied with the quality of teaching?,What is your level of satisfaction regarding online exams and assignments?,Are you satisfied with the time you are getting during the exams and online assignments?,What is the level of satisfaction of your lab lessons/practical lessons?,How satisfied are you with your interactions with your batch mates?,Up to what level do you engage with extra-curricular activities that your university conducts?,"How distracted you get during your online lessons? (Eg: Due to loss of internet connection, background noise etc.)",How much you prefer e-learning over in-premises learning?
Male,Badulla,"50,000 - 100,000",4,Sri Lanka Telecom,3,Sri Jayewardenepura,3rd year,Computing & IT,1-2 years,20 – 30 hours,4,4,3,4,2,3,2,4,4
Male,Matara,"More than 100,000",4,Sri Lanka Telecom,5,University of Moratuwa,4th year,Computing & IT,1-2 years,10 - 20 hours,2,4,4,4,4,1,2,3,1
Male,Gampaha,"20,000 – 50,000",3,Dialog Axiata,3,University of Moratuwa,2nd year,Engineering,More than 2 years,20 – 30 hours,4,4,4,3,2,1,1,4,2
Female,Colombo,"More than 100,000",5,Sri Lanka Telecom,5,University of Moratuwa,5th year,Computing & IT,1-2 years,20 – 30 hours,2,3,3,4,5,1,2,3,1
Male,Matara,"More than 100,000",5,Sri Lanka Telecom,2,University of Moratuwa,4th year,Computing & IT,6months – 1year,30 – 40 hours,4,4,5,4,3,2,3,3,4
Female,Galle,"More than 100,000",4,Sri Lanka Telecom,4,University of Moratuwa,4th year,Engineering,1-2 years,More than 40 hours,2,3,4,3,2,2,2,4,2
Male,Kurunegala,"More than 100,000",4,Sri Lanka Telecom,4,University of Moratuwa,4th year,Engineering,1-2 years,20 – 30 hours,4,4,4,3,3,2,2,4,2
Female,Gampaha,"50,000 - 100,000",5,Mobitel,3,University of Peradeniya,2nd year,Arts & Humanities,6months – 1year,20 – 30 hours,3,4,4,2,2,1,1,3,2
Female,Colombo,"20,000 – 50,000",3,Dialog Axiata,3,Wayamba University,4th year,Other,More than 2 years,Less than 10 hours,2,3,3,3,3,3,3,3,3
Female,Colombo,"20,000 – 50,000",3,Mobitel,3,Wayamba University,4th year,Other,1-2 years,30 – 40 hours,3,3,3,3,3,3,3,3,3
